id;street_address;postal_code;city;state_province
1;foolishly;like tousle;New Braunfels;ick
2;octagon;acclimatise mechanically responsible;Nolanshire;scan phooey
3;aha hmph pyramid;brr once;Leschstad;cousin
4;throughout uh-huh mmm;justly secondary;Ethelfort;inasmuch limp
5;actually court;forenenst ew nautical;Alisontown;acidic continually dynamite
6;temporary secretariat daily;since kindly;East Daphne;off
7;drat secede duh;among pixellate;New Laurine;ugly yet despite
8;referendum more necessary;toward;Aliso Viejo;wildly
9;jaggedly how mostly;nervously hm ouch;Port Chanelle;save and
10;ficlet;decry medium;Russelside;equally craft
